"dataset","symbol","name","storedSector","storedSectorKo","liveSector"
"SP500","DDOG","Datadog","Information Technology","기술","Technology"
"SP500","DVA","DaVita","Health Care","헬스케어","Healthcare"
"SP500","DECK","Deckers Brands","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","DELL","Dell Technologies","Information Technology","기술","Technology"
"SP500","DXCM","Dexcom","Health Care","헬스케어","Healthcare"
"SP500","DLTR","Dollar Tree","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","DPZ","Domino's","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","DOW","Dow Chemical Company","Materials","소재","Basic Materials"
"SP500","DHI","D. R. Horton","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","DD","DuPont","Industrials","산업재","Basic Materials"
"SP500","EBAY","eBay","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","ECL","Ecolab","Materials","소재","Basic Materials"
"SP500","EW","Edwards Lifesciences","Health Care","헬스케어","Healthcare"
"SP500","ELV","Elevance Health","Health Care","헬스케어","Healthcare"
"SP500","EL","The Estée Lauder Companies","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","EXPE","Expedia Group","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","FFIV","F5, Inc.","Information Technology","기술","Technology"
"SP500","FDS","FactSet","Financials","금융","Financial Services"
"SP500","FICO","FICO","Information Technology","기술","Technology"
"SP500","FIS","FIS (company)","Financials","금융","Technology"
"SP500","FITB","Fifth Third Bancorp","Financials","금융","Financial Services"
"SP500","FSLR","First Solar","Information Technology","기술","Technology"
"SP500","FLEX","Flex Ltd.","Information Technology","기술","Technology"
"SP500","FTV","Fortive","Industrials","산업재","Technology"
"SP500","FCX","Freeport-McMoRan","Materials","소재","Basic Materials"
"SP500","GEHC","GE HealthCare","Health Care","헬스케어","Healthcare"
"SP500","GEN","Gen Digital","Information Technology","기술","Technology"
"SP500","GIS","General Mills","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","GM","General Motors","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","GPN","Global Payments","Financials","금융","Industrials"
"SP500","GDDY","GoDaddy","Information Technology","기술","Technology"
"SP500","GS","Goldman Sachs","Financials","금융","Financial Services"
"SP500","HAS","Hasbro","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","HCA","HCA Healthcare","Health Care","헬스케어","Healthcare"
"SP500","HSIC","Henry Schein","Health Care","헬스케어","Healthcare"
"SP500","HPE","Hewlett Packard Enterprise","Information Technology","기술","Technology"
"SP500","HRL","Hormel Foods","Consumer Staples","필수소비재","Consumer Defensive"
