"dataset","symbol","name","storedSector","storedSectorKo","liveSector"
"SP500","SYF","Synchrony Financial","Financials","금융","Financial Services"
"SP500","SNPS","Synopsys","Information Technology","기술","Technology"
"SP500","SYY","Sysco","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","TROW","T. Rowe Price","Financials","금융","Financial Services"
"SP500","TPR","Tapestry, Inc.","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","TEL","TE Connectivity","Information Technology","기술","Technology"
"SP500","TDY","Teledyne Technologies","Information Technology","기술","Technology"
"SP500","TER","Teradyne","Information Technology","기술","Technology"
"SP500","TSLA","Tesla, Inc.","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","TMO","Thermo Fisher Scientific","Health Care","헬스케어","Healthcare"
"SP500","TJX","TJX Companies","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","TSCO","Tractor Supply","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","TRMB","Trimble Inc.","Information Technology","기술","Technology"
"SP500","TFC","Truist Financial","Financials","금융","Financial Services"
"SP500","TYL","Tyler Technologies","Information Technology","기술","Technology"
"SP500","TSN","Tyson Foods","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","USB","U.S. Bancorp","Financials","금융","Financial Services"
"SP500","UBER","Uber","Industrials","산업재","Technology"
"SP500","ULTA","Ulta Beauty","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","UHS","Universal Health Services","Health Care","헬스케어","Healthcare"
"SP500","VEEV","Veeva Systems","Health Care","헬스케어","Healthcare"
"SP500","VRSN","Verisign","Information Technology","기술","Technology"
"SP500","VRTX","Vertex Pharmaceuticals","Health Care","헬스케어","Healthcare"
"SP500","VTRS","Viatris","Health Care","헬스케어","Healthcare"
"SP500","V","Visa Inc.","Financials","금융","Financial Services"
"SP500","WRB","W. R. Berkley Corporation","Financials","금융","Financial Services"
"SP500","WMT","Walmart","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","WST","West Pharmaceutical Services","Health Care","헬스케어","Healthcare"
"SP500","WDC","Western Digital","Information Technology","기술","Technology"
"SP500","WSM","Williams-Sonoma, Inc.","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","WTW","Willis Towers Watson","Financials","금융","Financial Services"
